Overview,概览,概要,개요,Présentation,Überblick,Panoramica,Descripción general,Visão geral
"Use Buildah for building containers.

Buildah is a build tool that gives you control over how image layers are committed and how data is accessed during builds. No container runtime is needed to use Buildah and root access is not required. 

Buildah doesn’t include build tools within the image itself, which reduces the size of the images you build.
",使用 Buildah 来构建容器。  Buildah 是一个构建工具，支持您在构建期间对镜像层的运行方式和数据的访问方式实施控制。使用 Buildah 不需要容器运行时，也不需要根访问。   Buildah 不包括镜像本身的内部构建工具，从而降低您所构建镜像的大小。,"Buildah はコンテナのビルドに使用します。

Buildah はビルドツールで、イメージレイヤーをどのようにコミットし、ビルド中にデータにどのようにアクセスするかを制御できます。Buildah の使用にはコンテナランタイムも root アクセス権も不要です。 

Buildah を使用する場合、イメージ自体にビルドツールが組み込まれないため、ビルドするイメージのサイズが小さくなります。","Buildah를 사용하여 컨테이너 구축  Buildah는 이미지 레이어가 커밋되는 방식과 빌드 도중 데이터 액세스 방식을 제어할 수 있도록 지원하는 빌드 툴입니다. Buildah를 사용하기 위해 컨테이너 런타임이 필요하지 않으며 루트 액세스도 요구되지 않습니다.   Buildah는 이미지 자체 내에 빌드 툴을 포함하지 않으므로, 구축하는 이미지의 크기를 줄여줍니다.","Utilisez Buildah pour la création des conteneurs.  Buildah est un outil de création qui vous permet de définir la validation des couches d'images et l'accès aux données pendant la création. Avec Buildah, vous n'avez pas besoin d'environnement d'exécution pour les conteneurs ni d'accès root.   Buildah n'intègre pas d'outils de création dans les images elles-mêmes, ce qui réduit leur taille.","Nutzen Sie Buildah zur Entwicklung von Containern.  Buildah ist ein Entwicklungs-Tool, mit dem Sie steuern können, wie viele Image-Schichten implementiert werden und wie während des Entwicklungsprozesses auf Daten zugegriffen wird. Für dieses Tool benötigen Sie weder eine Container Runtime noch Root Access.   Da mit Buildah keine Build Tools in das Image integriert werden, lässt sich dessen Größe deutlich verringern.","Usa Buildah per creare i container.  Buildah è uno strumento che offre il controllo sulla convalida dei livelli di immagine e sull'accesso ai dati durante le compilazioni. Per l'impiego di Buildah non sono necessari runtime per container né accesso root.   Il prodotto non include nell'immagine gli strumenti di compilazione, garantendo dimensioni contenute dell'immagine creata.","Utilice Buildah para crear contenedores.  Buildah es una herramienta de creación que le permite controlar cómo se disponen las capas de imágenes y se accede a los datos durante las creaciones. Para utilizar este programa, no se requiere acceso raíz ni ningún tiempo de ejecución de contenedor.   Buildah no incluye herramientas de creación dentro de la imagen misma, lo cual reduce el tamaño de las imágenes que usted diseña.","Use o Buildah para criar containers.  Buildah é uma ferramenta de build que oferece controle sobre como as camadas de imagens são compostas e como os dados são acessados durante as compilações. Para usar o Buildah, não é necessário ter um ambiente de execução de containers nem acesso raiz.   O Buildah não inclui ferramentas de build na imagem em si, o que reduz o tamanho das imagens criadas."
Skopeo,Skopeo,Skopeo,Skopeo,Skopeo,Skopeo,Skopeo,Skopeo,Skopeo
"
Use Skopeo for finding and sharing containers.

Skopeo is a flexible utility that enables moving, signing, and verifying of images between registry servers and container hosts. You can use Skopeo to inspect images outside of your system
",使用 Skopeo 来查找和共享容器。  Skopeo 是一个灵活的实用程序，可在注册表服务器和容器主机之间迁移、签名和验证镜像。您可以使用 Skopeo 来检查系统外部镜像,"Skopeo はコンテナの検出と共有に使用します。

Skopeo は柔軟なユーティリティで、レジストリサーバーとコンテナホスト間でのイメージの移動、署名、検証を実現します。システム外部のイメージの検査もできます。","Skopeo를 사용하여 컨테이너 검색 및 공유  Skopeo는 레지스트리 서버와 컨테이너 호스트 간에 이미지를 이동, 서명 및 검증할 수 있도록 지원하는 유연한 유틸리티입니다. Skopeo를 사용하여 시스템 외부 이미지를 검사할 수 있습니다.","Utilisez Skopeo pour la recherche et le partage des conteneurs.  Skopeo est un utilitaire flexible qui permet le déplacement, la signature et la vérification des images entre les serveurs de registre et les hôtes de conteneur. Vous pouvez utiliser Skopeo pour examiner des images en dehors de votre système.","Nutzen Sie Skopeo für die Suche nach sowie die gemeinsame Verwendung von Containern.  Skopeo ist ein flexibles Dienstprogramm, mit dem Sie Images zwischen Registry-Servern und Container Hosts verschieben, signieren und verifizieren können. Dazu lassen sich damit Images außerhalb Ihres Systems inspizieren.","Skopeo consente di individuare e condividere i container.  È uno strumento flessibile per lo spostamento, la firma e la verifica delle immagini tra server di registro e host di container e permette anche di ispezionare immagini esterne ai sistemi in uso.","Utilice Skopeo para buscar y compartir contenedores.  Skopeo es una herramienta flexible que permite trasladar, firmar y verificar imágenes entre los servidores de registros y los hosts de contenedores. Utilice Skopeo para examinar imágenes fuera de su sistema","Use o Skopeo para localizar e compartilhar containers.  Skopeo é um utilitário flexível que permite a migração, assinatura e verificação de imagens entre servidores de registro e hosts de containers. O Skopeo pode ser usado para inspecionar imagens fora do seu sistema"
"Streamline your process
",简化您的流程,プロセスの効率化,프로세스의 간소화,Des processus rationalisés,Optimieren Sie Ihre Prozesse,Ottimizza i processi,Optimice el proceso,Simplifique seu processo
"Your apps never stop. Neither will your OS. With Red Hat Enterprise Linux 8, you can spend more time delivering business value and less time manually managing the underlying infrastructure. Quickly on-board non-Linux users using the web console, easily update apps using application streams, and stay focused on compliance and security with the built-in controls of Red Hat Enterprise Linux 8. ",您的应用再也不会停止运行。同样，您的操作系统再也不会停止运行。有了红帽企业 Linux 8，您可投入更多时间用于交付业务价值，并减少手动管理底层基础架构的时间。非 Linux 用户可通过 Web 控制台实现快速登录，轻松通过应用流更新应用，并通过红帽企业 Linux 8 内置控件保障合规性与安全性。,止まらないアプリ。止まらない OS。Red Hat Enterprise Linux 8 を使用すれば、インフラを手動で管理する時間を減らし、より多くの時間をビジネス価値を提供するための仕事に使うことができます。Red Hat Enterprise Linux 8 は、Linux に慣れていないユーザーでもすばやく利用を開始できる Web コンソール、アプリケーションを簡単にアップデートできるアプリケーション・ストリーム、コンプライアンス遵守とセキュリティ保護に集中できる組み込みの制御機能など、豊富な機能を備えています。,"애플리케이션은 실행이 중단되어서는 안되며  OS도 항상 실행되어야 합니다. Red Hat Enterprise Linux 8을 사용하면 비즈니스 가치 실현 및 기반 인프라의 수동 관리에 소요되는 시간을 더욱 단축시킬 수 있습니다. Red Hat Enterprise Linux 8의 빌트인 제어는 새로운 Linux 사용자가 웹 콘솔을 통해 신속하게 적응할 수 있도록 지원하고, 애플리케이션 스트림을 사용하여 간편하게 애플리케이션을 업데이트하며, 규정 준수 및 보안에 집중할 수 있도록 지원합니다.","Vos applications ne s'arrêtent jamais. Votre système d'exploitation non plus. Avec Red Hat Enterprise Linux 8, vous pouvez réduire le temps consacré à la gestion manuelle de la structure sous-jacente pour vous focaliser sur la création de valeur. Sous Red Hat Enterprise Linux 8, les utilisateurs qui découvrent Linux pourront très rapidement prendre leurs marques grâce à la console web, et vous pourrez mettre à jour facilement vos applications à l'aide des flux d'applications tout en assurant la conformité et la sécurité avec les commandes intégrées.","Ihre Apps sind im Dauerbetrieb. Gleiches gilt für Ihr Betriebssystem. Mit Red Hat Enterprise Linux 8 haben Sie mehr Zeit für die Bereitstellung geschäftlicher Werte und reduzieren gleichzeitig den Aufwand für die manuelle Verwaltung der zugrundeliegenden Infrastruktur. Mit ihm können Sie ein einfaches und schnelles Onboarding neuer Linux-Benutzer über die Webkonsole realisieren, Anwendungen mithilfe von Application Streams auf einfachste Weise aktualisieren und dank seiner integrierten Kontrollen auf Compliance und Sicherheit fokussieren.","Le tue app devono essere efficienti, così come il tuo sistema operativo. Con Red Hat Enterprise Linux 8 puoi dedicare il tuo tempo a creare valore per il tuo business, senza doverti occupare di gestire manualmente l'infrastruttura. Garantisci l'operatività degli utenti che non hanno ancora familiarità con Linux attraverso l'utilizzo della console web; aggiorna facilmente le app con i flussi delle applicazioni e garantisci compliance e sicurezza con i controlli integrati di Red Hat Enterprise Linux 8.","Las aplicaciones nunca se detienen, y tampoco lo hará el sistema operativo. Con Red Hat Enterprise Linux 8, puede invertir más tiempo en aportar valor empresarial y menos en administrar la infraestructura subyacente de forma manual. Incorpore usuarios que no estén familiarizados con Linux rápidamente utilizando la consola web, actualice aplicaciones con facilidad usando flujos de aplicaciones y manténgase enfocado en el cumplimiento y la seguridad con los controles integrados de Red Hat Enterprise Linux 8.","Suas aplicações nunca param. O sistema operacional também não. Com o Red Hat Enterprise Linux 8, você pode se concentrar em agregar mais valor corporativo e investir menos tempo com o gerenciamento manual da infraestrutura subjacente. Ao fornecer um console da web simplificado, os novos usuários de Linux conseguem rapidamente atualizar aplicações com facilidade usando o fluxo de aplicações, além de garantir a conformidade e a segurança com os controles integrados do Red Hat Enterprise Linux 8."
Get the technical brief for sysadmins,获取系统管理员的技术简介,システム管理者向けの技術概要を読む,시스템 관리자를 위한 기술 개요 보기,Télécharger l'analyse technique de sysadmins,Zur technischen Übersicht für Systemadministratoren,Informazioni tecniche per amministratori di sistema,Obtenga el informe técnico para administradores de sistemas,Obtenha o resumo técnico para administradores de sistema
Application streams,应用流,アプリケーション・ストリーム,애플리케이션 스트림,Flux d'applications,Application Streams,Flussi delle applicazioni,Flujos de aplicaciones,Fluxo de aplicações
"Now, you can offer the apps that developers want, independent of OS releases. Use application streams to separate applications from the base OS so you can update apps without having to wait for the next major version of the operating system. 
",从现在开始，您可以为开发人员提供所需要的应用，同时保持操作系统发布的独立性。 借助应用流能将应用与基本操作系统分开，可以随时更新应用，而不需等待操作系统的下一个主要版本。,OS のリリースにかかわらず、開発者が求めるアプリケーションを提供できるようになりました。アプリケーション・ストリームを使用すると、アプリケーションをベース OS から切り離せるため、オペレーティングシステムの次のメジャーバージョンまで待たずとも、アプリケーションのアップデートが可能です。,이제 OS 버전과 상관없이 개발자가 원하는 애플리케이션을 제공할 수 있습니다. 애플리케이션 스트림을 사용하여 애플리케이션을 기본 OS와 분리하면 다음 주요 OS 버전을 기다릴 필요 없이 애플리케이션을 업데이트할 수 있습니다.,"Vous pouvez désormais offrir les applications que les développeurs réclament, quelle que soit la version du système d'exploitation. En séparant les applications du système d'exploitation de base à l'aide des flux d'applications, vous pouvez mettre à jour les applications sans attendre la prochaine version majeure du système d'exploitation.","Jetzt können Sie Ihren Entwickler unabhängig vom OS-Release stets die gewünschten Apps zur Verfügung stellen. Mit Application Streams lassen sich Anwendungen zwecks Aktualisierung vom Haupt-Betriebssystem separieren, ohne auf das nächste Major Release des OS warten zu müssen.","Grazie ai flussi delle applicazioni puoi offrire agli sviluppatori le versioni dell'app che preferiscono, a prescindere dalla release del sistema operativo, I flussi consentono infatti di separare le applicazioni dal sistema operativo, per aggiornarle senza dover attendere le successive versioni del sistema.","Ahora puede ofrecer las aplicaciones que los desarrolladores buscan, independientemente de las versiones del sistema operativo. Utilice flujos de aplicaciones para separar las aplicaciones del sistema operativo base, de forma tal que pueda actualizarlas sin tener que esperar a que salga la próxima versión principal de este.","Com o fluxo de aplicações, você pode oferecer as aplicações que os desenvolvedores precisam, independentemente das versões do sistema operacional. Use o fluxo de aplicações para separar aplicações do sistema operacional. Assim, você pode atualizar aplicações sem precisar esperar a próxima versão principal do sistema operacional."
Web console,Web 控制台,Web コンソール,웹 콘솔,Console web,Webkonsole,Console web,Consola web,Console da web
"The new web console provides a graphical, browser-based interface for managing your Red Hat Enterprise Linux system. With the web console, less experienced Linux users have the ability to administer local, remote, and virtual machines without using the command line.

Red Hat Enterprise Linux helps to improve identity management. Identity management components integrate with the web console to provide ease of single sign-on (SSO) and the management of individual hosts. 
",新的 Web 控制台可提供一个基于浏览器的图形界面，用于管理您的红帽企业 Linux 系统。有了 Web 控制台，即使是经验不足的 Linux 用户也可管理本地、远程和虚拟机，而无需命令行。  红帽企业 Linux 有助于改善身份管理。身份管理组件与 Web 控制台集成到一起，方便执行单点登录（SSO）和单个主机管理。,"新しい Web コンソールでは、ブラウザーベースのグラフィカル・インタフェースを使用して、Red Hat Enterprise Linux システムを管理できます。Web コンソールなら、経験の浅い Linux ユーザーでも、コマンドラインを使用せずにローカルマシン、リモートマシン、および仮想マシンを管理できます。

Red Hat Enterprise Linux は ID 管理の強化にも役立ちます。ID 管理コンポーネントは Web コンソールと統合されており、シングルサインオン (SSO) および個々のホストの管理が容易です。","새로운 웹 콘솔은 Red Hat Enterprise Linux 시스템을 관리하기 위한 브라우저 기반 그래픽 인터페이스를 제공합니다. 이 웹 콘솔을 통해 Linux 경험이 풍부하지 않은 사용자는 명령줄을 사용하지 않고도 로컬, 원격 및 가상 머신을 관리할 수 있습니다.  Red Hat Enterprise Linux는 Identity 관리를 개선하도록 지원합니다. Identity 관리 구성 요소는 웹 콘솔과 통합하여 간편한 SSO(Single Sign-On)를 제공하고 개별 호스트를 원활하게 관리하도록 해줍니다.","La nouvelle console web offre une interface graphique basée sur un navigateur pour la gestion de votre système Red Hat Enterprise Linux. Grâce à cette console web, les utilisateurs qui ne maîtrisent pas Linux peuvent gérer des machines locales, distantes et virtuelles sans utiliser de ligne de commande.  La solution Red Hat Enterprise Linux améliore la gestion des identités. Les composants de gestion des identités s'intègrent à la console web pour simplifier l'authentification unique (SSO) et la gestion des hôtes individuels.","Die neue Webkonsole bietet eine grafische, browser-basierte Schnittstelle für die Verwaltung Ihres Red Hat Enterprise Linux Systems. Mit ihr können weniger erfahrene Linux-Benutzer lokale, Remote- und virtuelle Rechner ganz ohne Befehlszeile verwalten.  Red Hat Enterprise Linux verbessert das Identity Management (IM). Die in die Webkonsole integrierten IM-Komponenten ermöglichen einen benutzerfreundlichen SSO (Single Sign-On) sowie das Management individueller Hosts.","La nuova console è dotata di un'interfaccia grafica web per la gestione del sistema Red Hat Enterprise Linux che consente anche agli utenti Linux meno esperti di gestire le macchine virtuali locali, remote e virtuali senza usare la riga di comando.  Migliora la gestione delle identità con Red Hat Enterprise Linux. I componenti di questa funzionalità si integrano nella console web per facilitare l'accesso Single-Sign-On e la gestione dei singoli host.","La nueva consola web brinda una interfaz gráfica basada en explorador para gestionar el sistema Red Hat Enterprise Linux. Con ella, los usuarios de Linux que tienen menos experiencia pueden administrar máquinas virtuales, locales y remotas sin utilizar la línea de comandos.  Red Hat Enterprise Linux mejora la gestión de identidades. Los elementos de la gestión de identidades se integran con la consola web para posibilitar un inicio de sesión único (SSO) fácil y la gestión de hosts individuales.","O novo console da web fornece uma interface gráfica baseada em navegador para gerenciar o sistema Red Hat Enterprise Linux. Com o console da web, usuários com menos experiência em Linux podem administrar máquinas locais, remotas ou virtuais sem usar a linha de comando.  O Red Hat Enterprise Linux ajuda a aprimorar o gerenciamento de identidade. Os componentes do gerenciamento de identidade se integram ao console da web para fornecer a facilidade do logon único (SSO) e o gerenciamento de hosts individuais."
Security,安全性,セキュリティ,보안,Sécurité,Sicherheit,Sicurezza,Seguridad,Segurança
"Built-in security controls, like system-wide cryptographic policies with support for OpenSSL 1.1.1 and TLS 1.3, help maintain cryptographic compliance. Red Hat Enterprise Linux 8 also minimizes the attack surface by only deploying the packages you need to support your workload.  

Security policy refinements for Security-Enhanced Linux (SELinux) mandatory access controls are part of Red Hat Enterprise Linux 8. 

Proactively detect system issues and vulnerabilities regarding security, availability, performance, and scalability―and build a remediation plan―with Red Hat Insights, now included with a subscription.
",内置的安全控件，比如支持 OpenSSL 1.1.1 和 TLS 1.3 的全系统加密策略有助于保障加密的合规性。红帽企业 Linux 8 还可通过仅部署用于支持工作负载所需的软件包来尽可能地缩小攻击面。  此外，红帽企业 Linux 8 还针对安全增强型 Linux®（SELinux）强制访问控件改进了安全策略。   利用红帽智能分析工具（目前包含在订阅内）来主动检测安全性、可用性、性能和可扩展性方面的系统问题和漏洞，并构建补救计划。,"OpenSSL 1.1.1 および TLS 1.3 をサポートするシステム全体の暗号化ポリシーなど組み込みのセキュリティ制御により、暗号化のコンプライアンスの維持を支援します。Red Hat Enterprise Linux 8 はワークロードのサポートに必要なパッケージのみをデプロイするため、攻撃対象領域を最小限に抑えられます。

また、Security-Enhanced Linux (SELinux) で提供されている強制アクセス制御に関するセキュリティポリシーの改善点も Red Hat Enterprise Linux 8 に取り入れられています。 

セキュリティ、可用性、パフォーマンス、スケーラビリティに関するシステムの問題と脆弱性をプロアクティブに検出し、対策プランを作成する Red Hat Insights が、サブスクリプションに追加されました。","OpenSSL 1.1.1 및 TLS 1.3을 지원하는 시스템 전체의 암호화 정책과 같은 빌트인 보안 제어 기능으로 암호화 규정 준수를 유지관리할 수 있습니다. 또한 Red Hat Enterprise Linux 8은 워크로드 지원에 필요한 패키지를 배포하는 것만으로 공격 범위(attack surface)를 최소화합니다.    SELinux(Security-Enhanced Linux) 필수 액세스 제어를 지원하는 보안 정책 개선 사항이 Red Hat Enterprise Linux 8에 포함되어 있습니다.   이제 서브스크립션에 포함된 Red Hat Insights를 사용하여 보안성, 가용성, 성능 및 확장성과 관련된 시스템 문제와 취약점을 사전에 감지하고 문제 해결 계획을 수립할 수 있습니다.","Les contrôles de sécurité intégrés, tels que les politiques de cryptographie à l'échelle du système avec prise en charge d'OpenSSL 1.1.1 et de TLS 1.3, vous aident à assurer la conformité en matière de cryptographie. La solution Red Hat Enterprise Linux 8 permet également de réduire la surface d'attaque en déployant uniquement les paquets dont vous avez besoin pour soutenir votre charge de travail.    Vous pouvez ajuster la politique de sécurité pour les contrôles d'accès obligatoires SELinux (Security-Enhanced Linux) dans Red Hat Enterprise Linux 8.   Avec la solution Red Hat Insights, désormais comprise dans la souscription, vous pouvez détecter de manière proactive les problèmes et vulnérabilités qui touchent la sécurité, la disponibilité, les performances et l'évolutivité du système et élaborer un plan de correction.","Integrierte Sicherheitskontrollen, wie die systemweiten kryptographischen Richtlinien mit Support für OpenSSL 1.1.1 und TLS 1.3, unterstützen die kryptographische Compliance. Red Hat Enterprise Linux 8 reduziert dazu die Angriffsfläche, indem es nur diejenigen Pakete bereitstellt, die für die Unterstützung Ihres Workloads benötigt werden.    Feinabstimmungen von Sicherheitsrichtlinien wie vorgeschriebene SELinux-Zugriffskontrollen (Security-Enhanced Linux) sind ebenfalls Bestandteil des Betriebssystems.   Des Weiteren können Sie mit Red Hat Insights proaktiv Systemprobleme und -schwachstellen in Bezug auf Sicherheit Verfügbarkeit, Performance sowie Skalierbarkeit erkennen und einen Plan zur Fehlerbehebung entwickeln. Red Hat Insights ist mittlerweile in jeder Subskription enthalten.","Mantieni la conformità crittografica con i controlli di sicurezza integrati, come le policy per la crittografia a livello di sistema con supporto per OpenSSL 1.1.1 e TLS 1.3. Inoltre, Red Hat Enterprise Linux 8 riduce la superficie di attacco distribuendo solo i pacchetti necessari a supportare i carichi di lavoro aziendali.    I perfezionamenti alle policy di sicurezza per i controlli di accesso obbligatori SELinux sono parte integrante del nuovo sistema.   Individua in modo proattivo i problemi e le vulnerabilità del sistema relative a sicurezza, disponibilità, prestazioni e scalabilità e crea un piano di correzione con Red Hat Insights, oggi incluso nella sottoscrizione.","Los controles de seguridad integrados, como las políticas criptográficas de todo el sistema compatibles con OpenSSL 1.1.1 y TLS 1.3, permiten mantener el cumplimiento de la criptografía. Red Hat Enterprise Linux 8 también minimiza la superficie de ataque implementando solamente los paquetes que usted necesita para respaldar su carga de trabajo.    Red Hat Enterprise Linux 8 incorpora las mejoras en las políticas de seguridad respecto de los controles de acceso obligatorios de Security-Enhanced Linux (SELinux).   De forma proactiva, detecte vulnerabilidades y problemas del sistema relativos a la seguridad, la disponibilidad, el rendimiento y la escalabilidad, y diseñe un plan de corrección, con Red Hat Insights (que ahora se incluye con una suscripción).","Os controles de segurança integrados, como as políticas de criptografia do sistema com suporte para OpenSSL 1.1.1 e TLS 1.3, ajudam a manter a conformidade da criptografia. O Red Hat Enterprise Linux 8 também minimiza a superfície de ataque ao implantar somente os pacotes necessários para sua carga de trabalho.    O Red Hat Enterprise Linux 8 traz melhorias na política de segurança dos controles de acesso obrigatórios do Security-Enhanced Linux (SELinux).   Incluído na subscrição, o Red Hat Insights permite a você detectar de maneira proativa problemas e vulnerabilidades do sistema relacionados a segurança, disponibilidade, desempenho e escalabilidade, além de criar um plano de correções."
"Already have one or more subscriptions? 
Get started with Red Hat Enterprise Linux 8.",已有一个或多个订阅？  开始体验红帽企业 Linux 8。,"すでにサブスクリプションをお持ちですか？ 
Red Hat Enterprise Linux 8 を使い始めましょう。",서브스크립션을 이미 한개 이상 등록하셨습니까?  Red Hat Enterprise Linux 8로 시작하세요.,Vous avez déjà une ou plusieurs souscriptions ?  Faites vos premiers pas avec Red Hat Enterprise Linux 8.,Sie verfügen bereits über eine oder mehrere Subskriptionen?  Machen Sie die ersten Schritte mit Red Hat Enterprise Linux 8.,Hai già una o più sottoscrizioni?  Fai il primo passo con Red Hat Enterprise Linux 8.,¿Ya tiene una o más suscripciones?  Comience a utilizar Red Hat Enterprise Linux 8.,Já tem uma ou mais subscrições?  Comece a usar o Red Hat Enterprise Linux 8.
Go to the Customer Portal,进入客户门户网站,カスタマーポータルにアクセス,고객 포털 가기,Accéder au portail client,Zum Customer Portal,Visita il Customer Portal,Ir al Portal de clientes,Acesse o Portal do Cliente
UPCOMING EVENT,近期活动,今後のイベント,이벤트 소개,PROCHAIN ÉVÉNEMENT,VERANSTALTUNGSTERMIN,EVENTI IN PROGRAMMA,PRÓXIMO EVENTO,PRÓXIMO EVENTO
"Conquer complexity with Red Hat Enterprise Linux 8
",通过红帽企业 Linux 8 克服复杂性问题,Red Hat Enterprise Linux 8 で複雑さを軽減,Red Hat Enterprise Linux 8로 복잡성 해결,Venez à bout de la complexité avec Red Hat Enterprise Linux 8,Komplexe Dinge einfach machen – mit Red Hat Enterprise Linux 8,Riduci le complessità con Red Hat Enterprise Linux 8,Simplifique la complejidad con Red Hat Enterprise Linux 8,Elimine a complexidade com o Red Hat Enterprise Linux 8
Learn what the latest release of Red Hat Enterprise Linux can do for your organization in this multi-session virtual event on June 18. Red Hat product experts will explain the newest features and discuss how to deliver any application on any footprint at any time. Choose a track and stay for the interactive Q&A.  ,参加 6 月 18 日的多重区段虚拟活动，了解最新版红帽企业 Linux 可为您的企业带来哪些好处？红帽产品专家将详细介绍最新功能，并讨如何随时随地交付应用。选择一个路径并留下来参加互动问答。,6 月 18 日に開催されるマルチセッションのバーチャルイベントでは、Red Hat Enterprise Linux の最新リリースでできることを紹介します。Red Hat の製品エキスパートが最新の機能を説明し、あらゆるアプリケーションをあらゆるフットプリントでいつでも提供できる方法をご紹介します。トラックを選択してご参加ください。セッションの終わりにはインタラクティブな質疑応答も実施されます。,Red Hat Enterprise Linux 최신 버전을 기업에서 활용하는 방법을 6월 18일에 열리는 멀티세션 가상 이벤트에서 설명해 드립니다. Red Hat 제품 전문가가 최신 기능을 설명하고 언제든지 모든 공간에서 애플리케이션을 제공하는 방법을 논의합니다. 트랙을 선택하고 대화형 Q&A 세션을 살펴보세요.,"Découvrez les avantages que peut offrir la dernière version de Red Hat Enterprise Linux à votre entreprise en participant aux différentes sessions de l'événement virtuel prévu le 18 juin. Des spécialistes produit Red Hat vous présenteront les dernières fonctions et vous expliqueront comment fournir à tout moment n'importe quelle application, quel que soit l'espace disponible. Choisissez un parcours et suivez la session de questions-réponses interactive.","In diesem aus mehreren Sitzungen bestehenden virtuellen Event am 18. Juni erfahren Sie, welche Vorteile das aktuelle Release von Red Hat Enterprise Linux für Ihre Organisation bietet. Red Hat Produktexperten erläutern die neuesten Features und diskutieren, wie sich die unterschiedlichsten Anwendungen jederzeit in jeder Umgebung bereitstellen lassen. Wählen Sie einen Track und besuchen Sie auch die interaktive F&A-Sitzung.","Partecipa all'evento virtuale del 18 giugno per scoprire cosa può fare per te l'ultima versione di Red Hat Enterprise Linux. Esperti Red Hat illustreranno le nuove funzionalità e come distribuire qualsiasi applicazione, di qualsiasi dimensione, in qualsiasi momento. Scegli un percorso e non perderti la sessione interattiva finale in cui potrai fare le tue domande.",Descubra los beneficios de la última versión de Red Hat Enterprise Linux para su empresa en este evento virtual de varias sesiones que se realizará el 18 de junio. Los especialistas en productos de Red Hat explicarán las características nuevas y debatirán cómo ofrecer aplicaciones en cualquier tamaño y momento. Elija un tema y no se pierda la ronda de preguntas y respuestas interactivas.,"Participe do nosso evento virtual no dia 18 de junho e descubra todas as vantagens que a versão mais recente do Red Hat Enterprise Linux oferece para sua organização. Serão várias sessões onde os especialistas da Red Hat apresentarão as novas funcionalidades e mostrarão como você pode entregar qualquer aplicação, em qualquer ambiente, na hora que desejar. Escolha uma opção e participe da sessão interativa de perguntas e respostas."
Register now,立即注册,今すぐ登録,지금 등록,S'inscrire,Jetzt registrieren,Registrati,Regístrese ahora,Registre-se agora
"Featured speakers

John Gantz, senior vice president, IDC

Ron Pacheco, director, Global Product Management, Red Hat
",演讲嘉宾  John Gantz，IDC 高级副总裁  Ron Pacheco，红帽全球产品管理总监,"特別講演者

John Gantz 氏
IDC シニアバイスプレジデント

Ron Pacheco
Red Hat グローバル製品管理担当ディレクター","주요 발표자  John Gantz, IDC 수석 부사장  Ron Pacheco, Red Hat 글로벌 제품 관리 디렉터","Intervenants  John Gantz, vice-président senior, IDC  Ron Pacheco, directeur, gestion des produits à l'international, Red Hat","Gastredner  John Gantz, Senior Vice President, IDC  Ron Pacheco, Director, Global Product Management, Red Hat","Relatori  John Gantz, senior vice president, IDC  Ron Pacheco, director, Global Product Management, Red Hat","Ponentes destacados  John Gantz, vicepresidente sénior, IDC  Ron Pacheco, director, Gestión Global de Productos, Red Hat","Palestrantes em destaque  John Gantz, vice-presidente sênior, IDC  Ron Pacheco, diretor, gerenciamento de soluções global, Red Hat"
See event details,查看活动详情,イベントの詳細はこちら,이벤트 자세히 보기,Voir les détails de l'événement,Veranstaltungsdetails anzeigen,Altre informazioni sull'evento,Ver los detalles del evento,Confira os detalhes do evento
"Keep exploring Red Hat Enterprise Linux 
",了解红帽企业 Linux 最新动态,Red Hat Enterprise Linux についてさらに詳しく,Red Hat Enterprise Linux 탐색하기,Découvrez Red Hat Enterprise Linux plus en détail,Weitere Informationen zu Red Hat Enterprise Linux,Esplora Red Hat Enterprise Linux,Más información sobre Red Hat Enterprise Linux,Recursos adicionais sobre o Red Hat Enterprise Linux
"Red Hat Learning Subscription
Fill skills gaps and address business challenges with access to this comprehensive curriculum.
",红帽培训订阅服务 通过获取此综合课程来填补技能差距并解决业务挑战。,"Red Hat ラーニングサブスクリプション
スキルギャップの解消やビジネス課題への対処に役立つ、包括的なカリキュラムを活用しましょう。",Red Hat 교육 서브스크립션 전체 커리큘럼에 액세스하여 기술 격차를 줄이고 비즈니스 과제를 해결하십시오.,Souscription Red Hat Learning Acquérez les compétences qui vous manquent et relevez les défis métier grâce à ce programme complet.,Red Hat Learning Subscription Schließen Sie Kompetenzlücken und bewältigen Sie geschäftliche Herausforderungen – mit unserem umfassenden Kursangebot.,Red Hat Learning Subscription Approfitta dell'accesso a tutti i corsi Red Hat per acquisire nuove competenze e superare le sfide aziendali.,Red Hat Learning Subscription Adquiera las habilidades que necesita y aborde los desafíos empresariales accediendo a este plan de estudios integral.,Red Hat Learning Subscription Aprimore suas habilidades e solucione desafios corporativos com o acesso a esse currículo abrangente.
Get started,开始使用,今すぐ始める,지금 시작하기,En savoir plus,Jetzt starten,Fai il primo passo,Empezar,Comece agora mesmo
